100	4950
54	96	90
22	76	173
4	69	156
20	65	17
38	52	83
12	44	28
64	66	186
5	71	4
84	90	172
54	62	44
52	63	195
26	57	196
65	82	184
6	57	145
78	91	131
63	64	55
36	83	92
44	52	52
68	96	107
79	96	190
24	45	126
4	87	136
22	98	153
22	39	9
32	34	43
4	6	165
26	74	62
14	25	145
12	96	135
34	70	17
76	93	31
21	45	132
18	54	25
58	79	82
25	34	101
6	15	93
59	60	92
78	83	134
9	88	157
14	19	105
49	75	136
64	99	59
15	28	161
47	74	115
91	98	54
19	64	87
20	57	172
1	43	193
90	92	168
26	96	10
18	81	42
70	76	172
29	99	190
60	78	166
68	83	190
24	39	100
32	50	74
34	44	62
9	40	130
39	89	66
14	23	173
41	100	108
4	5	131
41	72	108
42	80	56
14	34	193
13	59	1
14	51	69
48	82	180
24	35	25
58	75	179
5	39	131
95	98	34
44	99	20
6	98	10
30	67	55
15	96	180
89	91	39
31	36	153
82	91	80
47	52	42
18	39	1
65	79	156
32	80	56
16	51	174
24	51	142
17	99	158
89	94	61
34	42	16
76	89	159
13	53	112
35	66	65
58	70	115
14	89	56
3	68	89
67	75	2
21	88	134
54	65	49
60	76	153
5	36	195
2	28	108
12	90	165
19	53	125
8	78	50
43	70	36
11	50	182
65	100	118
15	39	8
58	65	169
5	85	111
46	47	58
59	98	132
56	66	60
70	84	161
21	28	41
2	36	80
58	100	197
48	99	87
17	69	153
81	97	186
35	63	30
85	93	138
1	47	178
37	88	93
29	44	56
27	93	69
37	70	115
23	85	21
59	74	163
30	75	10
21	99	140
56	70	198
40	72	82
39	52	43
31	51	114
46	68	118
16	79	189
47	86	186
32	69	14
16	33	118
43	65	142
14	22	169
28	62	85
9	70	150
28	72	180
72	86	11
30	53	137
55	69	134
21	42	123
78	79	145
1	89	87
43	51	21
22	49	154
81	100	198
33	59	48
10	52	118
8	64	44
46	62	100
2	5	32
61	95	158
29	88	96
15	86	156
42	88	58
50	70	63
25	48	32
9	69	154
11	21	18
53	66	104
5	10	157
29	86	54
38	84	41
3	84	146
42	44	2
71	93	157
87	89	52
4	58	149
49	86	84
11	41	117
31	85	165
69	72	57
51	55	41
55	89	141
71	98	89
32	53	29
27	90	46
3	19	19
6	25	88
27	96	92
79	93	175
26	51	20
51	79	49
19	95	19
11	98	3
83	91	79
30	86	155
5	66	84
15	23	133
12	73	186
48	96	189
55	65	127
18	80	125
33	73	196
16	31	191
62	97	67
16	85	141
31	41	73
29	76	126
16	99	161
29	71	132
33	100	2
37	79	132
8	22	105
37	93	14
46	65	50
7	88	38
12	31	187
17	34	81
38	43	1
54	92	52
8	25	16
2	50	162
3	55	117
2	39	124
20	66	62
21	29	102
42	96	124
20	83	64
62	89	175
18	45	10
58	93	3
4	48	131
35	96	27
52	80	124
12	80	131
15	88	176
19	46	41
47	94	127
40	98	95
37	90	155
28	84	170
15	65	34
22	51	199
14	90	126
40	75	183
3	73	130
19	87	64
11	37	198
76	95	158
26	86	148
7	90	25
6	46	107
15	50	9
19	65	4
38	45	95
25	73	99
30	76	62
53	91	64
10	37	186
37	47	63
56	78	104
51	69	5
54	85	190
80	92	101
39	53	188
32	99	2
39	66	35
25	72	157
13	41	45
74	80	184
7	41	86
42	69	108
63	99	41
28	35	120
77	82	61
54	63	124
20	45	146
25	83	53
22	70	191
4	22	145
16	37	86
50	60	21
13	92	90
3	65	173
13	69	39
27	62	13
24	52	179
59	69	165
